Category,Year,Duration (Min)
Action/Adventure,1968,109.0
Action/Adventure,1971,104.0
Action/Adventure,1973,104.5
Action/Adventure,1975,94.0
Action/Adventure,1976,104.0
Action/Adventure,1978,100.5
Action/Adventure,1979,95.0
Action/Adventure,1980,118.0
Action/Adventure,1982,119.33333333333333
Action/Adventure,1983,120.0
Action/Adventure,1984,68.33333333333333
Action/Adventure,1985,22.0
Action/Adventure,1986,126.0
Action/Adventure,1988,148.0
Action/Adventure,1989,97.0
Action/Adventure,1990,120.0
Action/Adventure,1992,99.66666666666667
Action/Adventure,1993,100.33333333333333
Action/Adventure,1994,83.5
Action/Adventure,1995,107.5
Action/Adventure,1996,101.0
Action/Adventure,1997,102.0
Action/Adventure,1998,90.0
Action/Adventure,1999,96.0
Action/Adventure,2000,85.0
Action/Adventure,2001,104.6
Action/Adventure,2002,96.16666666666667
Action/Adventure,2003,104.5
Action/Adventure,2004,95.6
Action/Adventure,2005,124.6
Action/Adventure,2006,102.25
Action/Adventure,2007,102.25
Action/Adventure,2008,106.375
Action/Adventure,2009,92.75
Action/Adventure,2010,102.9
Action/Adventure,2011,108.16666666666667
Action/Adventure,2012,111.53333333333333
Action/Adventure,2013,107.75
Action/Adventure,2014,118.61538461538461
Action/Adventure,2015,98.89473684210526
Action/Adventure,2016,91.11627906976744
Action/Adventure,2017,93.91111111111111
Action/Adventure,2018,98.19444444444444
Action/Adventure,2019,98.22727272727273
Action/Adventure,2020,93.47368421052632
Action/Adventure,2021,96.84615384615384
Action/Adventure,2022,109.7
Anime,1992,93.0
Anime,1994,119.0
Anime,1998,69.0
Anime,1999,103.0
Anime,2003,91.0
Anime,2004,90.0
Anime,2011,115.0
Anime,2012,91.0
Anime,2013,126.0
Anime,2014,100.0
Anime,2015,125.5
Anime,2016,130.0
Anime,2018,95.0
Anime,2019,112.0
Anime,2021,48.25
Anime,2022,58.0
Comedy,1955,78.5
Comedy,1958,106.0
Comedy,1960,176.5
Comedy,1962,163.0
Comedy,1970,107.0
Comedy,1972,47.0
Comedy,1973,253.0
Comedy,1974,118.0
Comedy,1975,91.0
Comedy,1976,144.66666666666666
Comedy,1977,138.0
Comedy,1978,54.0
Comedy,1979,137.5
Comedy,1980,129.0
Comedy,1981,121.8
Comedy,1982,130.4
Comedy,1983,89.0
Comedy,1984,155.66666666666666
Comedy,1985,110.0
Comedy,1986,98.5
Comedy,1987,104.0
Comedy,1988,89.16666666666667
Comedy,1989,91.0
Comedy,1990,101.5
Comedy,1991,78.0
Comedy,1992,101.8
Comedy,1993,77.0
Comedy,1994,122.0
Comedy,1995,109.66666666666667
Comedy,1996,123.63636363636364
Comedy,1997,104.61538461538461
Comedy,1998,108.42857142857143
Comedy,1999,107.75
Comedy,2000,97.08333333333333
Comedy,2001,84.8125
Comedy,2002,97.5
Comedy,2003,100.81818181818181
Comedy,2004,99.72222222222223
Comedy,2005,102.04545454545455
Comedy,2006,102.36666666666666
Comedy,2007,116.57894736842105
Comedy,2008,99.03125
Comedy,2009,105.85714285714286
Comedy,2010,106.73684210526316
Comedy,2011,109.33333333333333
Comedy,2012,99.50819672131148
Comedy,2013,99.0
Comedy,2014,107.73611111111111
Comedy,2015,103.35051546391753
Comedy,2016,102.98089171974522
Comedy,2017,92.05084745762711
Comedy,2018,89.93785310734464
Comedy,2019,89.14685314685315
Comedy,2020,86.37142857142857
Comedy,2021,86.36363636363636
Comedy,2022,108.375
Crime,1997,124.0
Crime,1998,131.0
Crime,2004,93.0
Crime,2010,98.0
Crime,2011,88.0
Crime,2014,132.0
Crime,2016,127.0
Crime,2018,2.0
Documentary,1942,101.0
Documentary,1943,103.0
Documentary,1944,61.0
Documentary,1945,113.33333333333333
Documentary,1946,94.0
Documentary,1947,60.0
Documentary,1972,104.0
Documentary,1973,44.0
Documentary,1979,74.0
Documentary,1980,93.0
Documentary,1988,116.0
Documentary,1990,61.5
Documentary,1994,92.5
Documentary,1997,89.0
Documentary,1998,110.0
Documentary,2002,90.66666666666667
Documentary,2004,141.0
Documentary,2005,121.5
Documentary,2006,95.66666666666667
Documentary,2007,98.75
Documentary,2008,98.75
Documentary,2009,122.66666666666667
Documentary,2010,105.42857142857143
Documentary,2011,100.4
Documentary,2012,100.27272727272727
Documentary,2013,89.07692307692308
Documentary,2014,83.64
Documentary,2015,98.07272727272728
Documentary,2016,98.90566037735849
Documentary,2017,94.15
Documentary,2018,92.6774193548387
Documentary,2019,77.56410256410257
Documentary,2020,74.07843137254902
Documentary,2021,78.78048780487805
Documentary,2022,90.0909090909091
Drama,1955,88.0
Drama,1956,104.0
Drama,1958,88.0
Drama,1959,143.0
Drama,1960,87.5
Drama,1962,93.0
Drama,1964,71.0
Drama,1965,87.0
Drama,1966,116.0
Drama,1967,100.75
Drama,1969,121.0
Drama,1970,130.0
Drama,1971,106.66666666666667
Drama,1972,117.0
Drama,1973,114.0
Drama,1974,120.0
Drama,1975,108.75
Drama,1976,109.66666666666667
Drama,1977,124.5
Drama,1978,130.0
Drama,1979,93.0
Drama,1980,128.33333333333334
Drama,1981,100.66666666666667
Drama,1982,101.28571428571429
Drama,1983,116.5
Drama,1984,155.0
Drama,1985,88.0
Drama,1986,120.75
Drama,1987,95.0
Drama,1988,105.4
Drama,1989,100.4
Drama,1990,112.71428571428571
Drama,1991,119.8
Drama,1992,109.66666666666667
Drama,1993,118.6
Drama,1994,135.25
Drama,1995,99.0
Drama,1996,102.66666666666667
Drama,1997,113.2
Drama,1998,92.57142857142857
Drama,1999,134.66666666666666
Drama,2000,122.5
Drama,2001,111.66666666666667
Drama,2002,115.5
Drama,2003,117.375
Drama,2004,110.625
Drama,2005,103.375
Drama,2006,112.16666666666667
Drama,2007,110.0
Drama,2008,112.43333333333334
Drama,2009,116.30434782608695
Drama,2010,106.26315789473684
Drama,2011,106.78787878787878
Drama,2012,108.25581395348837
Drama,2013,111.71428571428571
Drama,2014,104.26785714285714
Drama,2015,104.13709677419355
Drama,2016,103.46060606060605
Drama,2017,105.23529411764706
Drama,2018,109.31875
Drama,2019,104.4921875
Drama,2020,100.52173913043478
Drama,2021,109.41463414634147
Drama,2022,119.875
Family,1954,120.0
Family,1968,93.0
Family,1971,118.0
Family,1973,80.0
Family,1977,98.0
Family,1978,64.0
Family,1980,101.0
Family,1981,94.0
Family,1982,110.0
Family,1984,69.0
Family,1986,96.0
Family,1989,109.0
Family,1991,136.5
Family,1992,87.0
Family,1993,95.4
Family,1994,105.5
Family,1995,106.33333333333333
Family,1997,96.0
Family,1998,84.0
Family,1999,123.5
Family,2000,90.0
Family,2001,108.0
Family,2002,98.66666666666667
Family,2003,104.33333333333333
Family,2004,98.25
Family,2005,100.57142857142857
Family,2006,91.5
Family,2007,119.25
Family,2008,100.55555555555556
Family,2009,85.25
Family,2010,100.28571428571429
Family,2011,103.11111111111111
Family,2012,100.73684210526316
Family,2013,105.07407407407408
Family,2014,86.72413793103448
Family,2015,87.72727272727273
Family,2016,102.09302325581395
Family,2017,92.7560975609756
Family,2018,88.89795918367346
Family,2019,70.47272727272727
Family,2020,66.25
Family,2021,70.17857142857143
Family,2022,77.93333333333334
Fantasy,1956,53.0
Fantasy,1990,114.0
Fantasy,1994,111.0
Fantasy,1995,101.0
Fantasy,1996,123.0
Fantasy,1999,108.0
Fantasy,2000,118.0
Fantasy,2002,89.5
Fantasy,2003,91.0
Fantasy,2004,129.0
Fantasy,2005,98.5
Fantasy,2006,92.0
Fantasy,2007,103.33333333333333
Fantasy,2008,67.5
Fantasy,2009,108.22222222222223
Fantasy,2010,115.2
Fantasy,2011,105.0
Fantasy,2012,103.5
Fantasy,2013,100.0
Fantasy,2014,99.33333333333333
Fantasy,2015,93.0
Fantasy,2016,99.44444444444444
Fantasy,2017,98.6
Fantasy,2018,113.9090909090909
Fantasy,2019,105.5
Fantasy,2020,97.0
International,1993,169.0
International,2002,130.0
International,2007,3.0
International,2008,28.0
International,2011,106.0
International,2012,97.0
International,2013,112.0
International,2014,105.33333333333333
International,2015,109.5
International,2016,71.5
International,2017,101.5
International,2018,74.0
International,2019,61.0
International,2020,100.0
International,2021,124.6
Movies,1988,23.0
Movies,2004,46.0
Movies,2005,82.0
Movies,2008,25.0
Movies,2010,55.0
Movies,2011,104.66666666666667
Movies,2012,112.66666666666667
Movies,2014,52.625
Movies,2015,68.375
Movies,2016,94.8
Movies,2017,89.0
Movies,2018,54.333333333333336
Movies,2019,36.0
Movies,2020,59.0
Movies,2021,36.25
Music,1964,173.0
Music,2011,110.0
Music,2013,93.0
Music,2015,87.0
Music,2016,82.0
Music,2017,91.5
Music,2018,118.6
Music,2019,137.0
Music,2020,81.0
Music,2021,115.0
Music,2022,92.0
Others,1978,2.0
Others,1995,104.0
Others,2000,101.0
Others,2001,131.0
Others,2002,95.0
Others,2003,154.0
Others,2011,114.0
Others,2016,131.33333333333334
Others,2018,87.33333333333333
Others,2019,115.5
Others,2021,130.66666666666666
Others,2022,121.4
Romance,1972,88.0
Romance,1983,104.0
Romance,1986,84.0
Romance,1998,133.0
Romance,2000,97.0
Romance,2003,105.0
Romance,2004,107.66666666666667
Romance,2005,98.0
Romance,2006,114.0
Romance,2007,132.5
Romance,2008,105.5
Romance,2009,109.0
Romance,2010,102.66666666666667
Romance,2012,99.0
Romance,2013,105.0
Romance,2014,142.66666666666666
Romance,2015,116.75
Romance,2016,112.5
Romance,2017,105.0
Romance,2018,96.75
Romance,2019,96.0
Romance,2020,104.33333333333333
Romance,2021,107.5
Romance,2022,118.0
Science-Fiction,2011,109.0
Thriller/Horror,1968,72.0
Thriller/Horror,1974,98.0
Thriller/Horror,1976,96.0
Thriller/Horror,1977,86.0
Thriller/Horror,1978,116.0
Thriller/Horror,1981,44.0
Thriller/Horror,1983,98.0
Thriller/Horror,1984,121.0
Thriller/Horror,1985,110.0
Thriller/Horror,1987,120.5
Thriller/Horror,1988,140.0
Thriller/Horror,1991,123.0
Thriller/Horror,1992,107.25
Thriller/Horror,1993,107.0
Thriller/Horror,1995,111.0
Thriller/Horror,1996,82.25
Thriller/Horror,1997,98.57142857142857
Thriller/Horror,1998,98.33333333333333
Thriller/Horror,1999,103.6
Thriller/Horror,2000,103.4
Thriller/Horror,2001,106.0
Thriller/Horror,2002,97.0
Thriller/Horror,2003,107.875
Thriller/Horror,2004,94.5
Thriller/Horror,2005,111.625
Thriller/Horror,2006,89.92307692307692
Thriller/Horror,2007,106.85714285714286
Thriller/Horror,2008,107.125
Thriller/Horror,2009,93.93333333333334
Thriller/Horror,2010,113.8
Thriller/Horror,2011,99.92857142857143
Thriller/Horror,2012,100.55555555555556
Thriller/Horror,2013,107.70370370370371
Thriller/Horror,2014,101.15789473684211
Thriller/Horror,2015,100.17073170731707
Thriller/Horror,2016,99.32432432432432
Thriller/Horror,2017,101.33333333333333
Thriller/Horror,2018,97.6590909090909
Thriller/Horror,2019,97.72307692307692
Thriller/Horror,2020,105.3529411764706
Thriller/Horror,2021,102.51515151515152
Thriller/Horror,2022,112.15789473684211
